phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy J7 Duo,5.5,240,2018,153.5,77.2,8.2,6.14,0.7040000000000001,1,921600.0,1,3000.0,4,0,0.5218382352941175,32768.0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J7 Prime 2,5.5,170,2018,151.7,75.0,8.0,6.0,0.733,1,2073600.0,1,3300.0,4,0,0.37,32768.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy S9+,6.2,560,2018,158.1,73.8,8.5,6.67,0.8420000000000001,1,4262400.0,1,3500.0,5,1,0.5218382352941175,262144.0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy S9,5.8,490,2018,147.7,68.7,8.5,5.75,0.836,1,4262400.0,1,3000.0,5,1,0.5218382352941175,262144.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J2 Pro (2018),5.0,120,2018,143.8,72.3,8.4,5.4,0.6629999999999999,1,518400.0,1,2600.0,4,0,0.5218382352941175,16384.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy A8+ (2018),6.0,300,2017,159.9,75.7,8.3,6.74,0.755,1,2397600.0,1,3500.0,5,1,0.32,65536.0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy A8 (2018),5.6,270,2017,149.2,70.6,8.4,6.07,0.7559999999999999,1,2397600.0,1,3000.0,5,1,0.24,65536.0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy J2 (2017),4.7,120,2017,136.5,69.0,8.4,4.59,0.647,1,518400.0,1,2000.0,4,0,0.5218382352941175,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy C7 (2017),5.5,230,2017,152.4,74.7,7.9,6.35,0.733,1,2073600.0,1,3000.0,4,0,0.98,32768.0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Galaxy Note8,6.3,550,2017,162.5,74.8,8.6,6.88,0.8320000000000001,1,4262400.0,1,3300.0,5,1,0.5218382352941175,262144.0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy S8 Active,5.8,850,2017,151.9,74.9,9.9,7.34,0.75,1,4262400.0,1,4000.0,5,1,0.5218382352941175,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
