,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
Galaxy I8250,GSM,GSM 900 / 1800 / 1900,TD-SCDMA,,HSPA,"2012, June. Released 2012, June",Discontinued,122.5 x 63 x 10.5 mm (4.82 x 2.48 x 0.41 in),125 g (4.41 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 2.3 (Gingerbread),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",VGA,,Yes,"Wi-Fi 802.11 b/g, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1650 mAh battery,0.26 W/kg (head),About 150 EUR,,Yes,,,,0.14 W/kg (head) 0.36 W/kg (body),,,,,,,,Yes,Yes,,Removable
Galaxy Ace Advance S6800,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/0.384 Mbps,"2012, May. Released 2012, June",Discontinued,112.7 x 61.5 x 11.5 mm (4.44 x 2.42 x 0.45 in),122 g (4.30 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~52.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread); TouchWiz UX UI,,832 MHz,,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM","5 MP, AF",480p@30fps,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,0.73 W/kg (head),About 110 EUR,,,,,,0.61 W/kg (head) 0.77 W/kg (body),,,,,,,,,,,Removable
Galaxy Ace Duos S6802,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 7.2/0.384 Mbps,"2012, May. Released 2012, June",Discontinued,112.7 x 61.5 x 11.5 mm (4.44 x 2.42 x 0.45 in),122 g (4.30 oz),,"Dual SIM (Mini-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm2 (~52.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread); TouchWiz UX UI,,832 MHz,,"microSD, up to 32 GB (dedicated slot)","3 GB, 512 MB RAM","5 MP, AF",480p@30fps,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1300 mAh battery,0.65 W/kg (head),About 120 EUR,,,,,,1.00 W/kg (head) 0.84 W/kg (body),,,,,Contrast ratio: 655 (nominal) / 1.148:1 (sunlight),Photo,Noise -87.9dB / Crosstalk -84.0dB,,,,Removable
Galaxy Appeal I827,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA,"2012, May. Released 2012, June",Discontinued,112 x 57.7 x 14.2 mm (4.41 x 2.27 x 0.56 in),114.2 g (4.02 oz),,Mini-SIM,Capacitive touchscreen,"3.2 inches, 30.5 cm2 (~47.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android 2.3 (Gingerbread),Qualcomm MSM7225A Snapdragon S1,800 MHz Cortex-A5,Adreno 200,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",3.15 MP,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1300 mAh battery,0.22 W/kg (head),About 120 EUR,,,,,,0.42 W/kg (head) 0.83 W/kg (body),,,,,,,,,,,Removable
Galaxy Tab 8.9 4G P7320T,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 2100,"LTE band 3(1800), 7(2600), 20(800)","HSPA 42.2/11.5 Mbps, LTE Cat3 100/50 Mbps","2012, Q1. Released 2012, Q1",Discontinued,230.9 x 157.8 x 8.6 mm (9.09 x 6.21 x 0.34 in),458 g (1.01 lb),,Mini-SIM,"PLS TFT capacitive touchscreen, 16M colors","8.9 inches, 229.7 cm2 (~63.0% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~170 ppi density)",Android 3.2 (Honeycomb),Nvidia Tegra 2 T20,Dual-core 1.5 GHz Cortex-A9,ULP GeForce,No,"16/32 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","3.0, A2DP","Yes, with A-GPS",2.0,"Accelerometer, gyro, compass",Non-removable Li-Po 6100 mAh battery,,About 220 EUR,,,,,,1.75 W/kg (body),,,,,,,,,,,Non-removable
C3780,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2012, May. Released 2012, June",Discontinued,117.7 x 49 x 12.3 mm (4.63 x 1.93 x 0.48 in),82 g (2.89 oz),,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~30.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,250 MHz,,"microSD, up to 32 GB (dedicated slot)",,3.15 MP,Yes,Yes,No,"2.1, A2DP",No,microUSB 2.0,,Removable Li-Ion 1000 mAh battery,0.66 W/kg (head),About 70 EUR,,,,,,0.91 W/kg (head) 0.56 W/kg (body),,,,,,,,Yes,Yes,,Removable
C3782 Evan,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"2012, May. Released 2012, Q4",Discontinued,117.7 x 49 x 12.3 mm (4.63 x 1.93 x 0.48 in),82 g (2.89 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","2.4 inches, 17.8 cm2 (~30.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,250 MHz,,"microSD, up to 32 GB (dedicated slot)",36 MB,3.15 MP,Yes,Yes,No,"2.1, A2DP",No,microUSB 2.0,,Removable Li-Ion 1000 mAh battery,0.61 W/kg (head),About 60 EUR,,,,,,0.91 W/kg (head) 0.56 W/kg (body),,,,,,,,Yes,Yes,,Removable
Galaxy Proclaim S720C,CDMA / EVDO,CDMA 800 / 1900,CDMA2000 1xEV-DO,,EV-DO Rev.A 3.1 Mbps,"2012, May. Released 2012, September",Discontinued,114.3 x 59.7 x 11.4 mm (4.5 x 2.35 x 0.45 in),114.9 g (4.02 oz),,Mini-SIM,"TFT touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~53.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)",1 GB,3.15 MP,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot",Yes,Yes,microUSB 2.0,Accelerometer,Removable Li-Ion 1500 mAh battery,,About 80 EUR,,,,,,0.62 W/kg (head) 1.17 W/kg (body),,,,,,,,,,,Removable
Omnia M S7530,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/5.76 Mbps,"2012, May. Released 2012, July",Discontinued,121.6 x 64.1 x 10.5 mm (4.79 x 2.52 x 0.41 in),119 g (4.20 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~58.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 7.5 Mango,,1.0 GHz,,No,"4/8 GB, 384 MB RAM",VGA,,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","2.1, A2DP","Yes, with A-GPS, Bing map",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,0.40 W/kg (head),About 100 EUR,LED flash,,,,,0.50 W/kg (head) 0.94 W/kg (body),,,,,,,,,,,Removable
I9500 Fraser,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA,,,"2012, May",Discontinued,153.9 x 76.4 x 14.8 mm (6.06 x 3.01 x 0.58 in),-,,Mini-SIM,"Super AMOLED Plus capacitive touchscreen, 16M colors","4.65 inches, 59.6 cm2 (~50.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~316 ppi density)",Tizen 1.0 OS,Exynos C210,Dual-core 1.2 GHz Cortex-A9,,"microSD, up to 32 GB (dedicated slot)","16 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot, DLNA","4.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 1750 mAh battery,,,LED flash,Yes,,,,,,,,,,,,Yes,Yes,,Removable
Focus 2 I667,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"LTE band 4(1700/2100), 17(700)","HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps","2012, May. Released 2012, May",Discontinued,121.7 x 62.7 x 11 mm (4.79 x 2.47 x 0.43 in),122 g (4.30 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Microsoft Windows Phone 7.5 Mango,Qualcomm MSM8255T Snapdragon S2,1.4 GHz Scorpion,Adreno 205,No,8 GB,VGA,,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1750 mAh battery,,About 110 EUR,LED flash,,,,,0.68 W/kg (head) 0.99 W/kg (body),,,,,,,,,,,Removable
Galaxy S III T999,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - T999, T999L","HSDPA 850 / 1700 / 1900 / 2100 - T999, T999L","LTE band 4(1700/2100), 27(800) - T999L","HSPA 42.2/5.76 Mbps, LTE (T999L)","2012, June. Released 2012, June",Discontinued,136.6 x 70.6 x 8.6 mm (5.38 x 2.78 x 0.34 in),133 g (4.69 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.8 inches, 63.5 cm2 (~65.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 64 GB (dedicated slot)","16/32 GB, 2 GB RAM","1.9 MP, f/2.6",720p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 2100 mAh battery,0.20 W/kg (head),About 310 EUR,LED flash,Yes,Corning Gorilla Glass 2,,,0.43 W/kg (head) 1.26 W/kg (body),,,,,,,,,,,Removable
Galaxy S III I747,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 4(1700/2100), 17(700)","HSPA 21.1/5.76 Mbps, LTE Cat3 100/50 Mbps","2012, June. Released 2012, July",Discontinued,136.6 x 70.6 x 8.6 mm (5.38 x 2.78 x 0.34 in),134 g (4.73 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.8 inches, 63.5 cm2 (~65.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1.1 (Jelly Bean); TouchWiz UI",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 64 GB (dedicated slot)","16 GB, 2 GB RAM","1.9 MP, f/2.6",720p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 2100 mAh battery,0.20 W/kg (head),About 300 EUR,LED flash,Yes,Corning Gorilla Glass 2,,,0.74 W/kg (head) 0.82 W/kg (body),,,,,Contrast ratio: Infinite (nominal),,Noise -82.3dB / Crosstalk -78.4dB,,,,Removable
Galaxy S III CDMA,CDMA / EVDO / LTE,"CDMA 800 / 1900 - SGH-I535, SPH-L710","CDMA2000 1xEV-DO - SGH-I535, SPH-L710",LTE band 13(700) - SGH-I535,"LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps","2012, June. Released 2012, July",Discontinued,137.2 x 71.1 x 7.6 mm (5.40 x 2.80 x 0.30 in),133.2 g (4.69 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.8 inches, 63.5 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","Android 4.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 64 GB (dedicated slot)","16/32 GB, 2 GB RAM","1.9 MP, f/2.6",720p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, aptX","Yes, with A-GPS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 2100 mAh battery,0.88 W/kg (head),About 280 EUR,LED flash,Yes,Corning Gorilla Glass 2,,,0.48 W/kg (head) 1.29 W/kg (body),,,,,,,,,,,Removable
I9300 Galaxy S III,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2012, May. Released 2012, May",Discontinued,136.6 x 70.6 x 8.6 mm (5.38 x 2.78 x 0.34 in),133 g (4.69 oz),Plastic body,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.8 inches, 63.5 cm2 (~65.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~306 ppi density)","Android 4.0.4 (Ice Cream Sandwich), 4.3 (Jelly Bean); TouchWiz UI",Exynos 4412 Quad (32 nm),Quad-core 1.4 GHz Cortex-A9,Mali-400MP4,"microSD, up to 64 GB (dedicated slot)","16/32/64 GB, 1 GB RAM","1.9 MP, f/2.6",720p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, EDR, aptX","Yes, with A-GPS, GLONASS","microUSB 2.0 (MHL TV-out), USB Host","Accelerometer, gyro, proximity, compass, barometer",Removable Li-Ion 2100 mAh battery,0.21 W/kg (head),About 190 EUR,LED flash,Yes,Corning Gorilla Glass 2,,,0.55 W/kg (head) 1.49 W/kg (body),,,,,Contrast ratio: Infinite (nominal) / 3.419:1 (sunlight),Photo / Video,Noise -90.3dB / Crosstalk -92.6dB,,,,Removable
E2350B,GSM,GSM 850 / 900 / 1800 / 1900,,,,"2012, March. Released 2012, Q2",Discontinued,98 x 47 x 14.7 mm (3.86 x 1.85 x 0.58 in),84.6 g (2.96 oz),,Mini-SIM,"TFT, 65K colors","2.0 inches, 12.6 cm2 (~27.3% screen-to-body ratio)",128 x 160 pixels (~102 ppi density),,,208 MHz,,"microSD, up to 16 GB (dedicated slot)",,VGA,320p@15fps,Yes,No,Yes,No,microUSB 2.0,,Removable Li-Ion 800 mAh battery,0.46 W/kg (head) 0.43 W/kg (body),About 50 EUR,,,,,,0.55 W/kg (head) 0.72 W/kg (body),,,,,,,,Yes,Yes,,Removable
U380 Brightside,CDMA / EVDO,CDMA 800 / 1900,CDMA2000 1xEV-DO,,"EV-DO Rev.0, 153.2 Kbps","2012, February. Released 2012, March",Discontinued,111 x 60 x 14 mm (4.37 x 2.36 x 0.55 in),122 g (4.30 oz),,Mini-SIM,"TFT touchscreen, 256K colors","3.1 inches, 29.8 cm2 (~44.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~129 ppi density)",,,,,"microSD, up to 32 GB (dedicated slot)","256 MB, 128 MB RAM",3.15 MP,Yes,Yes,No,"2.1, A2DP, EDR","Yes, with A-GPS",microUSB 2.0,"Accelerometer, compass",Removable Li-Po 1000 mAh battery,,About 100 EUR,,,,,,0.75 W/kg (head) 0.75 W/kg (body),,,,,,,,,,,Removable
Galaxy Player 70 Plus,No cellular connectivity,,,,,"2012, March. Released 2012, Q2",Discontinued,141.3 x 78.2 x 11.9 mm (5.56 x 3.08 x 0.47 in),186 g (6.56 oz),,No,"LCD capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm2 (~64.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",Android 2.3 (Gingerbread),,Dual-core 1.0 GHz,,"microSD, up to 32 GB (dedicated slot)",16/32 GB,VGA,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",3.0,Yes,microUSB 2.0 (MHL TV-out),"Accelerometer, gyro, compass",Removable Li-Po 2500 mAh battery,,About 180 EUR,LED flash,,,,,,,,,,,,,No,No,,Removable
Galaxy Pocket plus S5301,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/5.76 Mbps,2012. Released 2012,Discontinued,104.9 x 57.9 x 12 mm (4.13 x 2.28 x 0.47 in),97.2 g (3.42 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~40.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Android 4.0 (Ice Cream Sandwich); TouchWiz UX UI,,850 MHz,,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",2 MP,320p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,Accelerometer,Removable Li-Ion 1200 mAh battery,0.70 W/kg (head) 0.28 W/kg (body),About 90 EUR,Panorama,,,,,1.12 W/kg (head) 0.82 W/kg (body),,,,,,,,,,,Removable
Galaxy Pocket S5300,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 3.6/0.384 Mbps,"2012, February. Released 2012, April",Discontinued,103.7 x 57.5 x 12 mm (4.08 x 2.26 x 0.47 in),97 g (3.42 oz),,Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.8 inches, 24.3 cm2 (~40.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Android 2.3 (Gingerbread); TouchWiz UI,,832 MHz ARM 11,,"microSD, up to 32 GB (dedicated slot)",3 GB,2 MP,320p@15fps,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, compass",Removable Li-Ion 1200 mAh battery,0.79 W/kg (head),About 80 EUR,,,,,,0.86 W/kg (head) 0.38 W/kg (body),,,,,Contrast ratio: 753:1 (nominal) / 1.180:1 (sunlight),,Noise -87.6dB / Crosstalk -85.6dB,,,,Removable
I8530 Galaxy Beam,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,HSPA 14.4/5.76 Mbps,"2012, February. Released 2012, July",Discontinued,124 x 64.2 x 12.5 mm (4.88 x 2.53 x 0.49 in),145.3 g (5.11 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Android 2.3.6 (Gingerbread), upgradable to 4.1 (Jelly Bean); TouchWiz UI 4",NovaThor U8500,Dual-core 1.0 GHz Cortex-A9,Mali-400,"microSD, up to 32 GB (dedicated slot)","8 GB, 768 MB RAM",1.3 MP,,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2000 mAh battery,0.28 W/kg (head),About 240 EUR,LED flash,,,,,0.36 W/kg (head) 0.78 W/kg (body),,,,,Contrast ratio: 1048 (nominal) / 1.315:1 (sunlight),Photo / Video,Noise -88.6dB / Crosstalk -89.1dB,,,,Removable
Galaxy Tab 2 10.1 P5110,No cellular connectivity,,,,,"2012, February. Released 2012, May",Discontinued,256.6 x 175.3 x 9.7 mm (10.10 x 6.90 x 0.38 in),581 g (1.28 lb),,No,"PLS TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~65.8% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 4.0.3 (Ice Cream Sandwich), upgradable to 4.2.2 (Jelly Bean); TouchWiz UX UI",TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","8/16/32 GB, 1 GB RAM",VGA,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","3.0, A2DP",Yes; GLONASS,"2.0, USB Host","Accelerometer, gyro, compass",Non-removable Li-Po 7000 mAh battery,0.20 W/kg (body),About 290 EUR,,,Corning Gorilla Glass,,,0.51 W/kg (body),,,,,Contrast ratio: 878:1 (nominal),Photo / Video,Noise -90.4dB / Crosstalk -91.8dB,No,No,,Non-removable
Galaxy Tab 2 10.1 CDMA,GSM / CDMA / HSPA / EVDO / LTE,"CDMA 800 / 1900 - SCH-I915, SPH-P500","CDMA2000 1xEV-DO - SCH-I915, SPH-P500","LTE band 4(1700/2100), 13(700) - SCH-I915","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps",2012. Released 2012,Discontinued,256.6 x 175.3 x 9.7 mm (10.10 x 6.90 x 0.38 in),581.2 g (1.28 lb),,Yes,"PLS TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~65.8% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 64 GB (dedicated slot)","8/16 GB, 1 GB RAM",VGA,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS","microUSB 2.0, USB Host","Accelerometer, gyro, compass",Non-removable Li-Ion 7000 mAh battery,,,,,,,,,,,,,,,,,,,Non-removable
Galaxy Tab 2 10.1 P5100,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2012, February. Released 2012, May",Discontinued,256.6 x 175.3 x 9.7 mm (10.10 x 6.90 x 0.38 in),588 g (1.30 lb),,Mini-SIM,"PLS TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~65.8% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 4.0.3 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean); TouchWiz UX UI",TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","16/32 GB, 1 GB RAM",VGA,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","3.0, A2DP","Yes, with A-GPS, GLONASS","2.0, USB Host","Accelerometer, gyro, compass",Non-removable Li-Po 7000 mAh battery,0.99 W/kg (body),About 290 EUR,,,Corning Gorilla Glass,,,1.34 W/kg (body),,,,,,,,,,,Non-removable
Rugby Smart I847,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,,HSPA 14.4/5.76 Mbps,"2012, February. Released 2012, March",Discontinued,122.4 x 65.9 x 12.2 mm (4.82 x 2.59 x 0.48 in),119 g (4.20 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","3.7 inches, 39.0 cm2 (~48.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)",Android 2.3.6 (Gingerbread),Qualcomm Snapdragon,1.4 GHz Scorpion,Adreno 205,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM",1.3 MP,,Yes,"Wi-Fi 802.11 b/g, hotspot",Yes,"Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1650 mAh battery,0.89 W/kg (head),About 170 EUR,LED flash,,,,,1.51 W/kg (head) 0.94 W/kg (body),,,,,,,,,,,Removable
W999,GSM / CDMA / EVDO,GSM 900 / 1800 / 1900 - SIM 1,CDMA2000 1xEV-DO,,EV-DO Rev.A 3.1 Mbps,"2011, December. Released 2012, Q1",Discontinued,111 x 59 x 17.8 mm (4.37 x 2.32 x 0.70 in),206 g (7.27 oz),,Mini-SIM,"Super AMOLED capacitive touchscreen, 16M colors","3.5 inches, 34.9 cm2 (~53.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~267 ppi density)",Android 2.3 (Gingerbread),Qualcomm MSM8660 Snapdragon S3,Dual-core 1.2 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot)",16 GB,1.3 MP,,Yes,"Wi-Fi 802.11 b/g/n , hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,0.14 W/kg (head),About 220 EUR,LED flash,,,,,0.67 W/kg (head) 0.69 W/kg (body),,,,,,,,,,,Removable
Galaxy Ace II X S7560M,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/5.76 Mbps,"2012, Q2. Released 2012, November",Discontinued,121.5 x 63.1 x 10.5 mm (4.78 x 2.48 x 0.41 in),122 g (4.30 oz),,Mini-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.0 (Ice Cream Sandwich),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)","4 GB, 768 MB RAM",VGA,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","3.0, A2DP","Yes, with A-GPS",microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1500 mAh battery,0.54 W/kg (head),About 150 EUR,LED flash,,,,,0.46 W/kg (head) 1.13 W/kg (body),,,,,,,,,,,Removable
